position,name,left,width,top,height,light,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T07A5,cloth,3897,290,1207,290,170.7690141,4042.0,1352.0,0.2622232494070793,0.38871895808985923,0.2657799262081897,0.29593414815082075,0.3534433687541083,0.30066258159483306,0.31149648169391964,0.3720299483276987,0.31647356997838166,0.0,128.0,128.0
T07B1,cloth,4193,290,38,290,125.8732955,4338.0,183.0,0.23650843559028276,0.35780272442208255,0.23729869677362386,0.2684920598109852,0.323420403884242,0.27199006762890005,0.3107897593487312,0.37437140436262717,0.31483883628864173,0.0,128.0,128.0
T07B2,cloth,4185,290,332,290,147.4480434,4330.0,477.0,0.2615074055276496,0.3839080978538335,0.25994094731330325,0.29167641021532215,0.3487094128658098,0.2992960059339429,0.31039911724273955,0.3710930679922892,0.3185078147649713,0.0,128.0,128.0
T07B3,cloth,4193,290,622,290,161.7642726,4338.0,767.0,0.2639783834678927,0.38440915595125846,0.25889984855533565,0.2918720258520096,0.34902467500730483,0.30168378001903706,0.3096521005612446,0.3702863385013694,0.32006156093738597,0.0,128.0,128.0
T07B4,cloth,4195,290,910,290,166.5877281,4340.0,1055.0,0.2622673753215741,0.38637029006492596,0.2619387452928212,0.29351796291586546,0.3509499833521902,0.30035030718536626,0.3106607666003729,0.3714470820916369,0.31789215130799026,0.0,128.0,128.0
T07B5,cloth,4173,290,1192,290,168.0478873,4318.0,1337.0,0.25815891587902257,0.3809687451114587,0.25771201990864046,0.28910183945101675,0.3458916185900957,0.2957204813004269,0.3106237343512339,0.371641171330051,0.3177350943187151,0.0,128.0,128.0
T07C1,cloth,4479,290,43,290,125.7475192,4624.0,188.0,0.24325346097553766,0.3555342139552869,0.2362225137704499,0.26845407163618085,0.32205602088015506,0.2781086977929885,0.3090585589802651,0.3707679645814103,0.3201734764383246,0.0,128.0,128.0
T07C2,cloth,4488,290,327,290,146.2130682,4633.0,472.0,0.25850322262251807,0.37646259799577975,0.2545320458712232,0.28624107414382893,0.3420175936055438,0.29544909942337433,0.30988271866539113,0.3702660145993787,0.31985126673523034,0.0,128.0,128.0
T07C3,cloth,4485,290,619,290,160.3122759,4630.0,764.0,0.2646340086701254,0.3918369007019823,0.26578492931977543,0.2974861048500068,0.35584823284870215,0.303325266552102,0.31096338083907826,0.3719695399152739,0.31706707924564786,0.0,128.0,128.0
T07C4,cloth,4485,290,910,290,165.4574464,4630.0,1055.0,0.2683761864197949,0.39208957398824623,0.2683350753618281,0.2993035080319686,0.3568413713385243,0.3069608943134405,0.3107690932919195,0.3705110913971433,0.3187198153109371,0.0,128.0,128.0
T07C5,cloth,4475,290,1202,290,166.5176056,4620.0,1347.0,0.2668538766578416,0.3878167067182587,0.2647213253226763,0.29601043671842797,0.3529072015023142,0.3049350776276599,0.31033138743557714,0.36998081112388687,0.31968780144053593,0.0,128.0,128.0
T07D2,cloth,4773,290,332,290,146.3015645,4918.0,477.0,0.24870098816772424,0.36814893496462125,0.2444061939489268,0.2773231438301928,0.33321108863369203,0.2849473014993321,0.3096916388692212,0.3721026911174464,0.3182056700133324,0.0,128.0,128.0
T07D3,cloth,4773,290,622,290,160.1095151,4918.0,767.0,0.26539219126520375,0.3871336224011116,0.2621236114285021,0.2944309955132762,0.35176073175966305,0.3034143898795381,0.3100559170745103,0.3704280389583687,0.31951604396712113,0.0,128.0,128.0
T07D4,cloth,4770,290,910,290,165.5930098,4915.0,1055.0,0.2639160964569827,0.3878992215844117,0.2605024331737988,0.2937697472797522,0.35185693387629025,0.30207156053089423,0.309982370292079,0.37127528405030313,0.31874234565761783,0.0,128.0,128.0
T07D5,cloth,4768,290,1202,290,167.0228873,4913.0,1347.0,0.259029704804811,0.3798114075374297,0.2574478482418508,0.2887361668770429,0.345070613114131,0.29640494273812606,0.3103983317151419,0.3709592178667368,0.31864245041812117,0.0,128.0,128.0
T13A1,cloth,77,290,1578,290,174.7887324,222.0,1723.0,0.26177079639059164,0.3737982816204676,0.26174556708645247,0.28885323411871255,0.34188215950100825,0.29837618847264397,0.3108918666886203,0.36796673950731257,0.32114139380406714,0.0,128.0,128.0
T13A2,cloth,73,290,1870,290,173.4704225,218.0,2015.0,0.24730647107648887,0.3561332777236072,0.24520246004189783,0.2731034338435133,0.3246867598714388,0.282205310901155,0.3103463965564836,0.3689641119395053,0.32068949150401105,0.0,128.0,128.0
T13A3,cloth,77,290,2156,290,169.7022167,222.0,2301.0,0.24595256962088927,0.35460548139564385,0.2464470928263616,0.272826192554673,0.32376113479249297,0.28076065530277167,0.31096691159034756,0.3690224873084068,0.32001060110124546,0.0,128.0,128.0
T13A4,cloth,80,290,2448,290,156.9897727,225.0,2593.0,0.25378131630711087,0.362306403628897,0.2526737732045526,0.2795606919461774,0.3311577522351139,0.2892386197151393,0.310637810581539,0.3679706127327252,0.3213915766857358,0.0,128.0,128.0
T13B1,cloth,380,290,1577,290,174.1672535,525.0,1722.0,0.260203501633015,0.37557543613217736,0.26813034606673214,0.29183934630328867,0.3443978454222645,0.2972220471174969,0.31264283876498,0.3689479209066684,0.3184092403283516,0.0,128.0,128.0
T13B2,cloth,370,290,1860,290,173.4577465,515.0,2005.0,0.25529143755605627,0.36953186289680895,0.2589230308163289,0.28499437229198865,0.33776309606685767,0.29165573359231056,0.3116691356641322,0.3693768805460654,0.31895398378980233,0.0,128.0,128.0
T13B3,cloth,370,290,2154,290,169.7711508,515.0,2299.0,0.253205080917987,0.36409912135278427,0.25528038424495336,0.2811728638911848,0.33295258399925487,0.2889550944304294,0.31134860149747606,0.36868537012610686,0.3199660283764172,0.0,128.0,128.0
